premise	hypothesis	premise_atomic	hypothesis_atomic	label
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Na področju raziskav v okviru inštituta delujejo osebe, ki še pridobivajo izobrazbo na fakultetah, razni aktivni raziskovalci in ljudje s področja gospodarstva.	Inštitut je osnovnošolski učitelj drugi učitelji sodelujejo pri projektih.	osebe se vrne na fakulteto pridobiti zaposlitev na izbranem poklicnem področju študija.	entailment
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Ker ne spodbuja sodelovanja, se na inštitutu trudijo vzpostaviti individualno delo pri posameznih skupinah izobražencev na področju razvoja in raziskav.	Inštitut je osnovnošolski učitelj drugi učitelji sodelujejo pri projektih.	osebek razvija svoje trdo delajte na področju coachinga in učenja, da bi drugim privzgojili odličnost.	contradiction
Inštitut spodbuja tudi sodelovanje študentov, raziskovalcev in gospodarstvenikov na skupnih raziskovalno-razvojnih projektih.	Institucija si želi sodelovanja ljudi, ki študirajo na fakultetah, ljudi v raziskavah in pomembnežev v gospodarstvu na projektih za raziskave in razvoj.	Inštitut je osnovnošolski učitelj drugi učitelji sodelujejo pri projektih.	Institucija prosi fakultetah, da se pridruži osebiZ fakultetah in osebaZ sodelujeta pri projektu podjetja in se povežeta.	entailment
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Tudi ko sem se zleknil, se mi spomin na prvi dan ni priklical.	osebek je drugi dan videla nič	spomin nikoli ni dobila Naslednji dan sem prišel tja.	contradiction
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Leže, mi je po mislih nenehno švigal le spomin na prvi dan.	osebek je drugi dan videla nič	PersonX sanje prejšnjo noč spominja na misli v spanju	entailment
Ko sem ležal, nisem mogel misliti na nič drugega kot na ta prvi dan.	Kadarkoli ležim se moje misli spominjajo preteklih dogodkov.	osebek je drugi dan videla nič	PersonX sanje prejšnjo noč spominja na misli v spanju	neutral
ahm... in kaj jih bo doletelo...	Ne vem, kako bodo prenesli bolečino, ki jo bodo izkusili.	kaj, kaj se je zgodilo. se zazrejo vanj.	osebek da bi vedeli, zakaj imajo bolečine.	neutral
ahm... in kaj jih bo doletelo...	Hmm… Kakšna pa bo njihova kazen?	kaj, kaj se je zgodilo. se zazrejo vanj.	kazen kaj ima njihov sosed	entailment
ahm... in kaj jih bo doletelo...	Ahh… Naj jim že spregledajo.	kaj, kaj se je zgodilo. se zazrejo vanj.	osebek da jih opazite.	contradiction
ŠTIRINAJSTI ODSTAVEK: DEL PLAČE ZA DELOVNO USPEŠNOST JE TISTI DEL PLAČE, KI GA LAHKO PREJME JAVNI USLUŽBENEC IN FUNKCIONAR ZA NADPOVPREČNO USPEŠNO OPRAVLJENO DELO V DOLOČENEM OBDOBJU.	14. ODSTAVEK: JAVNI USLUŽBENEC ALI FINKCIONAR SME BITI S STRANI DELODAJALCA NOMINIRAN ZA PREJTEJE DODATKA ZA DELOVNO USPEŠNOST, KI ŠTEJE 10 ODSTOTKOV NJEGOVE OSNOVNE PLAČE.	PersonX trži in prodaja izdelek ali storitev porabijo del svojega zaslužka, ki ga dobijo z delom.	USLUŽBENEC povzroči drugo podjetje je zaradi kaznivega dejanja morda utrpelo premoženjsko/finančno škodo.	neutral
